full_name,dom_pos,birthdate,height,bodyWeight,points_acum,numMinutes_acum,reboundsTotal_acum,blocks_acum,assists_acum,steals_acum,threePointersMade_acum,fieldGoalsMade_acum,freeThrowsMade_acum,age,reb36Min,blk36Min,ast36Min,stl36Min,pts_from_2_36Min,pts_from_3_36Min
Alaa Abdelnaby,F,1968-06-24,82.0,240.0,1503.0,3306.0,866.0,71.0,88.0,71.0,0.0,638.0,227.0,57.327857631759066,9.430127041742287,0.7731397459165155,0.9582577132486388,0.7731397459165155,13.894736842105262,0.0
Kareem Abdul-Jabbar,C,1947-04-16,86.0,225.0,44149.0,64883.0,19924.0,3481.0,6406.0,1145.0,1.0,18193.0,7762.0,78.51882272416154,11.054729281938258,1.9314150085538586,3.5543362668187353,0.635297381440439,20.187475918191208,0.001664534623861412
Tariq Abdul-Wahad,G,1974-11-03,78.0,235.0,1908.0,4861.0,829.0,87.0,281.0,192.0,18.0,748.0,394.0,50.9678302532512,6.139477473770829,0.6443118699855996,2.0810532812178564,1.4219296441061509,10.81259000205719,0.39991771240485496
Shareef Abdur-Rahim,F,1976-12-11,81.0,245.0,15261.0,28981.0,6353.0,642.0,2145.0,832.0,154.0,5519.0,4069.0,48.86242299794661,7.891653152065146,0.7974880093854595,2.664504330423381,1.0335047099824024,13.328732617922086,0.573893240398882
Tom Abernethy,F,1954-05-06,79.0,220.0,1847.0,5666.0,1051.0,55.0,407.0,149.0,0.0,746.0,355.0,71.4633812457221,6.677726791387221,0.3494528768090363,2.5859512883868687,0.9466996117190257,9.479703494528767,0.0
Forest Able,G,1932-07-27,75.0,180.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,93.2375085557837,36.0,0.0,36.0,0.0,0.0,0.0
Alex Abrines,G,1993-08-01,78.0,200.0,1000.0,2946.0,279.0,24.0,95.0,98.0,236.0,331.0,102.0,32.224503764544835,3.409368635437882,0.29327902240325865,1.1608961303462322,1.1975560081466397,2.3217922606924644,8.65173116089613
Alex Acker,G,1983-01-21,77.0,185.0,118.0,336.0,49.0,4.0,36.0,13.0,10.0,48.0,12.0,42.75154004106776,5.25,0.42857142857142855,3.8571428571428568,1.3928571428571428,8.142857142857142,3.2142857142857144
Donald Ackerman,G,1930-09-04,72.0,183.0,42.0,101.0,6.0,0.0,13.0,0.0,0.0,15.0,12.0,95.13210130047912,2.1386138613861387,0.0,4.633663366336634,0.0,10.693069306930692,0.0
Mark Acres,C,1962-11-15,83.0,220.0,1380.0,6142.0,1562.0,105.0,182.0,138.0,7.0,528.0,317.0,62.93497604380561,9.155323998697494,0.615434711820254,1.0667535004884403,0.8088570498209052,6.107456854444806,0.12308694236405081
Charles Acton,F,1942-01-11,78.0,210.0,76.0,117.0,44.0,0.0,10.0,0.0,0.0,29.0,18.0,83.77823408624229,13.538461538461538,0.0,3.076923076923077,0.0,17.846153846153847,0.0
Quincy Acy,F,1990-10-06,79.0,240.0,1762.0,5628.0,1275.0,142.0,235.0,153.0,195.0,628.0,311.0,35.044490075290895,8.155650319829425,0.9083155650319829,1.5031982942430704,0.9786780383795309,5.539445628997868,3.742004264392324
Alvan Adams,C,1954-07-19,81.0,210.0,14986.0,29468.0,7522.0,861.0,4325.0,1373.0,2.0,6149.0,2686.0,71.26078028747433,9.18935794760418,1.051852857336772,5.283697570245691,1.6773449165196146,15.019139405456768,0.0073299850685489346
Don Adams,F,1947-11-27,79.0,210.0,4392.0,10659.0,2567.0,19.0,807.0,94.0,0.0,1745.0,902.0,77.90280629705681,8.669856459330143,0.0641711229946524,2.7255840135097102,0.31747818744722767,11.787222065859837,0.0
